,,,,Independent Variable,Distance moved,Velocity,Velocity.1
,,,,Independent Variable,Center-point,Center-point,Center-point
,,,,Treatment,Total,Mean,Total
,,,,,cm,cm/s,cm/s
Result 1,Trial     1,A1,26:20:00-26:30:00,,59.478,0.0991565,743.475
Result 1,Trial     1,A1,26:30:00-26:40:00,,31.9094,0.0531965,398.867
Result 1,Trial     1,A1,26:40:00-26:50:00,,32.4677,0.0541272,405.846
Result 1,Trial     1,A1,26:50:00-27:00:00,,19.109,0.121682,238.863
Result 1,Trial     1,A1,27:00:00-27:10:00,,11.5506,0.103723,144.383
Result 1,Trial     1,A1,27:10:00-27:20:00,,-,-,-
Result 1,Trial     1,A1,27:20:00-27:30:00,,3.83845,0.0431869,47.9807
Result 1,Trial     1,A1,27:30:00-27:40:00,,2.87508,0.0151639,35.9385
Result 1,Trial     1,A1,27:40:00-27:50:00,,16.8223,0.138069,210.279
Result 1,Trial     1,A1,27:50:00-28:00:00,,0.0628105,0.0290789,0.785131
Result 1,Trial     1,A1,28:00:00-28:10:00,,20.6487,0.163051,258.109
Result 1,Trial     1,A1,28:10:00-28:20:00,,11.0635,0.0925661,138.294
Result 1,Trial     1,A1,28:20:00-28:30:00,,-,-,-
Result 1,Trial     1,A1,28:30:00-28:40:00,,-,-,-
Result 1,Trial     1,A1,28:40:00-28:50:00,,-,-,-
Result 1,Trial     1,A1,28:50:00-29:00:00,,-,-,-
Result 1,Trial     1,A1,29:00:00-29:10:00,,-,-,-
Result 1,Trial     1,A1,29:10:00-29:20:00,,27.2421,0.238631,340.526
Result 1,Trial     1,A1,29:20:00-29:30:00,,0.592045,0.0422889,7.40056
Result 1,Trial     1,A1,29:30:00-29:40:00,,28.7085,0.0492597,358.857
Result 1,Trial     1,A1,29:40:00-29:50:00,,0.223797,0.000373095,2.79747
Result 1,Trial     1,A1,29:50:00-30:00:00,,31.0952,0.0915211,388.69
Result 1,Trial     1,A1,30:00:00-30:10:00,,20.9262,0.0562049,261.578
Result 1,Trial     1,A1,30:10:00-30:20:00,,0.524501,0.010678,6.55627
Result 1,Trial     1,A1,30:20:00-30:30:00,,9.11939,0.173769,113.992
Result 1,Trial     1,A1,30:30:00-30:40:00,,8.86814,0.0374626,110.852
Result 1,Trial     1,A1,30:40:00-30:50:00,,9.44175,0.0892078,118.022
Result 1,Trial     1,A1,30:50:00-31:00:00,,10.5585,0.0688479,131.981
Result 1,Trial     1,A1,31:00:00-31:10:00,,61.9111,0.152131,773.889
Result 1,Trial     1,A1,31:10:00-31:20:00,,8.76523,0.254803,109.565
Result 1,Trial     1,A1,31:20:00-31:30:00,,21.096,0.109147,263.7
Result 1,Trial     1,A1,31:30:00-31:40:00,,81.2,0.160601,1015
Result 1,Trial     1,A1,31:40:00-31:50:00,,32.7848,0.189639,409.81
Result 1,Trial     1,A1,31:50:00-32:00:00,,8.65026,0.0580399,108.128
Result 1,Trial     1,A1,32:00:00-32:10:00,,25.2308,0.0420626,315.386
Result 1,Trial     1,A1,32:10:00-32:20:00,,52.7001,0.161143,658.751
Result 1,Trial     1,A1,32:20:00-32:30:00,,17.8143,0.255658,222.678
Result 1,Trial     1,A1,32:30:00-32:40:00,,8.63902,0.303336,107.988
Result 1,Trial     1,A1,32:40:00-32:50:00,,14.4077,0.0684517,180.097
Result 1,Trial     1,A1,32:50:00-33:00:00,,18.4658,0.0537422,230.823
Result 1,Trial     1,A1,33:00:00-33:10:00,,57.8334,0.180369,722.917
Result 1,Trial     1,A1,33:10:00-33:20:00,,0.437945,0.00884379,5.47431
Result 1,Trial     1,A1,33:20:00-33:30:00,,26.9809,0.26328,337.261
Result 1,Trial     1,A1,33:30:00-33:40:00,,50.5554,0.274043,631.943
Result 1,Trial     1,A1,33:40:00-33:50:00,,5.54213,0.0627506,69.2766
Result 1,Trial     1,A1,33:50:00-34:00:00,,22.4231,0.170492,280.289
Result 1,Trial     1,A1,34:00:00-34:10:00,,68.5995,0.249199,857.494
Result 1,Trial     1,A1,34:10:00-34:20:00,,18.2171,0.249413,227.714
Result 1,Trial     1,A1,34:20:00-34:30:00,,-,-,-
Result 1,Trial     1,A1,34:30:00-34:40:00,,2.24231,0.0267962,28.0288
Result 1,Trial     1,A1,34:40:00-34:50:00,,2.63289,0.0281532,32.9111
Result 1,Trial     1,A1,34:50:00-35:00:00,,40.1939,0.196413,502.423
Result 1,Trial     1,A1,35:00:00-35:10:00,,100.794,0.191829,1259.93
Result 1,Trial     1,A1,35:10:00-35:20:00,,0.652482,0.00224313,8.15602
Result 1,Trial     1,A1,35:20:00-35:30:00,,11.9359,0.0273007,149.198
Result 1,Trial     1,A1,35:30:00-35:40:00,,0.0728149,0.00019341,0.910187
Result 1,Trial     1,A1,35:40:00-35:50:00,,36.6544,0.185874,458.18
Result 1,Trial     1,A1,35:50:00-36:00:00,,79.3401,0.273662,991.751
Result 1,Trial     1,A1,36:00:00-36:10:00,,-,-,-
Result 1,Trial     1,A1,36:10:00-36:20:00,,13.6318,0.0389479,170.397
Result 1,Trial     1,A1,36:20:00-36:30:00,,1.03065,0.00254054,12.8831
Result 1,Trial     1,A1,36:30:00-36:40:00,,65.6403,0.254657,820.504
Result 1,Trial     1,A1,36:40:00-36:50:00,,78.6793,0.150542,983.491
Result 1,Trial     1,A1,36:50:00-37:00:00,,66.1577,0.135502,826.971
Result 1,Trial     1,A1,37:00:00-37:10:00,,16.897,0.180215,211.212
Result 1,Trial     1,A1,37:10:00-37:20:00,,0.504562,0.157676,6.30703
Result 1,Trial     1,A1,37:20:00-37:30:00,,2.77372,0.0128603,34.6714
Result 1,Trial     1,A1,37:30:00-37:40:00,,2.465,0.00411602,30.8126
Result 1,Trial     1,A1,37:40:00-37:50:00,,37.5082,0.0882961,468.852
Result 1,Trial     1,A1,37:50:00-38:00:00,,71.9917,0.136762,899.896
Result 1,Trial     1,A1,38:00:00-38:10:00,,51.6663,0.102643,645.829
Result 1,Trial     1,A1,38:10:00-38:20:00,,3.95007,0.0289256,49.3759
Result 1,Trial     1,A1,38:20:00-38:30:00,,30.9874,0.147111,387.343
Result 1,Trial     1,A1,38:30:00-38:40:00,,29.5545,0.155354,369.431
Result 1,Trial     1,A1,38:40:00-38:50:00,,-,-,-
Result 1,Trial     1,A1,38:50:00-39:00:00,,0.509679,0.57918,6.37098
Result 1,Trial     1,A1,39:00:00-39:10:00,,18.721,0.0631441,234.012
Result 1,Trial     1,A1,39:10:00-39:20:00,,-,-,-
Result 1,Trial     1,A1,39:20:00-39:30:00,,44.6626,0.0894828,558.283
Result 1,Trial     1,A1,39:30:00-39:40:00,,14.1811,0.0396564,177.264
Result 1,Trial     1,A1,39:40:00-39:50:00,,1.46425,0.00801715,18.3032
Result 1,Trial     1,A1,39:50:00-40:00:00,,8.64516,0.0494122,108.065
Result 1,Trial     1,A1,40:00:00-40:10:00,,1.77563,0.0162723,22.1954
Result 1,Trial     1,A1,40:10:00-40:20:00,,21.999,0.0371605,274.988
Result 1,Trial     1,A1,40:20:00-40:30:00,,64.1232,0.111433,801.54
Result 1,Trial     1,A1,40:30:00-40:40:00,,35.9601,0.0830564,449.501
Result 1,Trial     1,A1,40:40:00-40:50:00,,40.4375,0.0909281,505.469
Result 1,Trial     1,A1,40:50:00-41:00:00,,57.6477,0.100783,720.597
Result 1,Trial     1,A1,41:00:00-41:10:00,,60.9212,0.109728,761.515
Result 1,Trial     1,A1,41:10:00-41:20:00,,63.5342,0.114699,794.177
Result 1,Trial     1,A1,41:20:00-41:30:00,,62.6476,0.115484,783.095
Result 1,Trial     1,A1,41:30:00-41:40:00,,56.5763,0.131085,707.204
Result 1,Trial     1,A1,41:40:00-41:50:00,,20.6792,0.0408421,258.489
Result 1,Trial     1,A1,41:50:00-42:00:00,,-,-,-
Result 1,Trial     1,A1,42:00:00-42:10:00,,2.98983,0.0603763,37.3729
Result 1,Trial     1,A1,42:10:00-42:20:00,,0,0,0
Result 1,Trial     1,A1,42:20:00-42:30:00,,27.7371,0.0609767,346.714
Result 1,Trial     1,A1,42:30:00-42:40:00,,12.0656,0.0475023,150.82
Result 1,Trial     1,A1,42:40:00-42:50:00,,28.0303,0.0479906,350.379
Result 1,Trial     1,A1,42:50:00-43:00:00,,8.51696,0.0346895,106.462
Result 1,Trial     1,A1,43:00:00-43:10:00,,5.80733,0.0161279,72.5916
Result 1,Trial     1,A1,43:10:00-43:20:00,,12.3642,0.0286633,154.553
Result 1,Trial     1,A1,43:20:00-43:30:00,,4.50896,0.0253312,56.362
Result 1,Trial     1,A1,43:30:00-43:40:00,,0.963345,0.00683029,12.0418
Result 1,Trial     1,A1,43:40:00-43:50:00,,6.53584,0.0113611,81.698
Result 1,Trial     1,A1,43:50:00-44:00:00,,9.85803,0.0290352,123.225
Result 1,Trial     1,A1,44:00:00-44:10:00,,12.1723,0.0206562,152.154
Result 1,Trial     1,A1,44:10:00-44:20:00,,11.4529,0.0202893,143.161
Result 1,Trial     1,A1,44:20:00-44:30:00,,26.1056,0.0447872,326.32
Result 1,Trial     1,A1,44:30:00-44:40:00,,27.0918,0.0476699,338.647
Result 1,Trial     1,A1,44:40:00-44:50:00,,27.2851,0.053838,341.063
Result 1,Trial     1,A1,44:50:00-45:00:00,,25.8358,0.046208,322.947
Result 1,Trial     1,A1,45:00:00-45:10:00,,31.0731,0.056969,388.414
Result 1,Trial     1,A1,45:10:00-45:20:00,,20.2246,0.0536064,252.808
Result 1,Trial     1,A1,45:20:00-45:30:00,,27.0766,0.0543358,338.458
Result 1,Trial     1,A1,45:30:00-45:40:00,,21.7603,0.0455007,272.003
Result 1,Trial     1,A1,45:40:00-45:50:00,,20.5515,0.0394372,256.894
Result 1,Trial     1,A1,45:50:00-46:00:00,,18.4354,0.0442137,230.442
Result 1,Trial     1,A1,46:00:00-46:10:00,,19.2014,0.0397314,240.018
Result 1,Trial     1,A1,46:10:00-46:20:00,,13.7487,0.024657,171.859
Result 1,Trial     1,A1,46:20:00-46:30:00,,18.8989,0.0353647,236.236
Result 1,Trial     1,A1,46:30:00-46:40:00,,14.1796,0.0323027,177.245
Result 1,Trial     1,A1,46:40:00-46:50:00,,21.1485,0.0503441,264.357
Result 1,Trial     1,A1,46:50:00-47:00:00,,25.1533,0.0476173,314.417
Result 1,Trial     1,A1,47:00:00-47:10:00,,12.7877,0.0372603,159.846
Result 1,Trial     1,A1,47:10:00-47:20:00,,13.4631,0.039137,168.289
Result 1,Trial     1,A1,47:20:00-47:30:00,,26.6865,0.054347,333.582
Result 1,Trial     1,A1,47:30:00-47:40:00,,21.7665,0.0485772,272.081
Result 1,Trial     1,A1,47:40:00-47:50:00,,27.098,0.0546595,338.725
Result 1,Trial     1,A1,47:50:00-48:00:00,,16.7044,0.0443698,208.804
Result 1,Trial     1,A1,48:00:00-48:10:00,,24.4764,0.0564909,305.955
Result 1,Trial     1,A1,48:10:00-48:20:00,,22.9667,0.0420635,287.084
Result 1,Trial     1,A1,48:20:00-48:30:00,,22.3524,0.0421107,279.404
Result 1,Trial     1,A1,48:30:00-48:40:00,,21.5066,0.0459073,268.833
Result 1,Trial     1,A1,48:40:00-48:50:00,,25.2753,0.0502292,315.941
Result 1,Trial     1,A1,48:50:00-49:00:00,,12.7667,0.0343781,159.583
Result 1,Trial     1,A1,49:00:00-49:10:00,,19.2394,0.0506193,240.492
Result 1,Trial     1,A1,49:10:00-49:20:00,,17.4469,0.0386471,218.086
Result 1,Trial     1,A1,49:20:00-49:30:00,,18.4233,0.0389203,230.292
Result 1,Trial     1,A1,49:30:00-49:40:00,,18.05,0.0482206,225.624
